document_id,section,position
lg_154,Section 3,77881
lg_154,Section 2,77945
lg_154,Section 42,78746
lg_154,Section 43,79368
lg_155,Section 8,5599
lg_155,Section 14,5687
lg_159,Section 7,27387
lg_161,Section 28,13640
lg_162,Section 10,11666
lg_167,Section 5,26248
lg_167,Section 22,26639
lg_168,Section 11,14366
lg_169,Section 27,19236
lg_172,Section 41,28891
lg_175,Section 5,20414
lg_175,Section 9,21016
lg_175,Section 10,22293
lg_175,Section 11,22730
lg_183,Section 56,43618
lg_185,Article 150,5448
lg_188,Section 12,10400
lg_188,Section 3,12829
lg_189,Section 27,38304
lg_192,Section 8,8451
lg_192,Article 55,2777
lg_195,Section 56,67228
lg_200,Section 2,1877
lg_202,Section 6,3240
lg_202,Section 10,159392
lg_202,Section 16,159793
lg_202,Section 17,164397
lg_202,Section 30,167908
lg_202,Section 32,169135
lg_202,Article 136,3110
lg_212,Section 7,29833
lg_212,Section 22,34751
lg_214,Section 15,17629
lg_214,Section 16,17675
lg_214,Section 27,25797
lg_214,Section 30,25845
lg_214,Section 38,32960
lg_217,Section 2,1421
lg_217,Section 1,2337
lg_217,Section 4,8019
lg_217,Section 7,26004
lg_217,Section 12,26340
lg_217,Section 5,40529
lg_217,Section 3,48702
lg_217,Article 11,17176
lg_217,Article 102,53127
lg_218,Section 3,882
lg_218,Section 2,1326
lg_218,Section 11,2222
lg_218,Section 1,2737
lg_218,Section 5,27392
lg_218,Section 4,35080
lg_219,Section 21,25676
lg_219,Article 141,22647
lg_219,Article 140,24272
lg_221,Section 12,20516
lg_231,Section 3,14765
lg_234,Section 4,45639
lg_234,Section 5,47709
lg_234,Section 11,48616
lg_242,Section 15,19143
lg_245,Section 2,11025
lg_248,Section 10,6308
lg_248,Section 19,14713
lg_249,Section 7,8374
lg_250,Section 7,8336
lg_255,Section 3,10083
lg_255,Section 6,11617
lg_258,Section 7,6010
lg_264,Article 154,12848
lg_266,Section 21,51712
lg_266,Section 22,52148
lg_267,Section 18,17327
lg_269,Section 66,86137
lg_270,Section 18,81410
lg_270,Section 28,87354
lg_270,Section 47,93342
lg_270,Article 112,79234
lg_271,Section 21,14794
lg_271,Section 32,30661
lg_271,Section 10,63370
lg_271,Section 12,64349
lg_271,Section 27,65025
lg_271,Section 29,67850
lg_271,Section 30,68587
lg_271,Section 31,69277
lg_271,Section 62,71198
lg_274,Article 6,12214
lg_276,Section 40,33656
lg_276,Section 20,66496
lg_276,Section 29,69031
lg_276,Section 43,72541
lg_276,Section 56,81053
lg_277,Section 28,39094
lg_278,Section 325,299218
lg_278,Article 136,244514
lg_279,Section 6,7086
lg_283,Section 44,42335
lg_283,Section 69,64865
lg_284,Section 2,10201
lg_284,Section 10,21389
lg_287,Section 34,138833
lg_287,Section 69,144268
lg_287,Section 73,145433
lg_287,Section 81,146501
lg_289,Section 11,10329
lg_290,Section 5,5724
lg_292,Section 6,5139
lg_292,Section 12,8500
lg_292,Section 15,12495
lg_292,Section 285,318291
lg_292,Section 167,367879
lg_292,Section 185,368635
lg_292,Section 235,370267
lg_292,Section 245,371252
lg_292,Section 252,372264
lg_292,Section 253,374001
lg_292,Section 259,375602
lg_292,Section 263,376755
lg_292,Section 266,378223
lg_300,Section 50,63581
lg_310,Section 35,20173
lg_312,Section 162,114012
lg_312,Article 140,90524
lg_312,Article 141,91112
lg_313,Section 30,18091
lg_313,Section 26,18207
lg_314,Section 17,11435
lg_316,Section 15,11494
lg_316,Section 7,60650
lg_316,Section 12,72834
lg_316,Section 27,73195
lg_316,Section 31,73952
lg_316,Section 40,76504
lg_318,Section 5,16821
lg_321,Section 183,8435
lg_321,Section 186,8586
lg_321,Section 298,8670
lg_321,Section 314,8754
lg_333,Section 2,31816
lg_333,Section 20,32787
lg_333,Section 22,33952
lg_333,Section 25,34919
lg_333,Section 26,36414
lg_334,Section 31B,3016
lg_334,Section 2,15507
lg_335,Section 2,13795
lg_335,Section 4,15979
lg_336,Section 13,6023
lg_336,Section 58,26367
lg_336,Section 74,168606
lg_336,Section 288,186113
lg_336,Section 349,228054
lg_336,Article 4,72973
lg_338,Section 1,432
lg_338,Section 42,43343
lg_348,Section 87,60386
lg_352,Section 2,5974
lg_362,Section 18,17905
lg_365,Section 77,55201
lg_370,Section 11,15216
lg_370,Article 24,15252
lg_370,Article 55,16311
lg_376,Article 114,1682
lg_376,Article 170,1833
lg_380,Section 3,2939
lg_382,Section 15,20189
lg_382,Article 155,3421
lg_384,Section 6,6869
lg_384,Section 21,22129
lg_384,Section 26,22177
lg_388,Section 4,15172
lg_388,Section 5,17677
lg_388,Section 7,19689
lg_394,Section 76,85412
lg_394,Section 254,87934
lg_394,Section 166,92059
lg_398,Section 14,40034
lg_398,Article 89,1151
lg_398,Article 162,36548
lg_398,Article 97,37503
lg_398,Article 103,39524
lg_401,Section 30,85882
lg_403,Section 6,31416
lg_410,Section 307,26458
lg_411,Section 20,37755
lg_413,Section 2,2818
lg_413,Article 15,610
lg_413,Article 1,2974
lg_413,Article 2,3881
lg_413,Article 3,4982
lg_413,Article 4,5407
lg_413,Article 5,5829
lg_413,Article 6,6142
lg_413,Article 7,7302
lg_413,Article 8,7766
lg_413,Article 9,7961
lg_413,Article 10,8391
lg_413,Article 12,8651
lg_413,Article 14,10236
lg_413,Article 13,10843
lg_413,Article 11,11875
lg_413,Article 17,14120
lg_413,Article 16,17061
lg_413,Article 18,21429
lg_413,Article 19,21685
lg_413,Article 20,22088
lg_413,Article 21,25877
lg_413,Article 22,28415
lg_413,Article 23,28676
lg_413,Article 24,29027
lg_413,Article 25,29160
lg_413,Article 26,29537
lg_413,Article 27,29638
lg_413,Article 28,29825
lg_413,Article 29,30060
lg_413,Article 30,30439
lg_413,Article 36,30876
lg_413,Article 31,30916
lg_413,Article 33,31061
lg_413,Article 32,31073
lg_413,Article 34,31869
lg_413,Article 35,32206
lg_413,Article 37,33020
lg_413,Article 38,35008
lg_413,Article 39,35706
lg_416,Section 2,9013
lg_425,Section 547,6079
lg_426,Article 12,957
lg_432,Section 7,42339
lg_432,Section 10,45299
lg_433,Section 6,23276
lg_433,Section 11,23683
lg_434,Section 5,61432
lg_434,Section 38,62570
lg_434,Section 45,62978
lg_434,Section 48,65092
lg_434,Section 49,65924
lg_434,Section 13,66155
lg_443,Section 5,5427
lg_443,Section 10,19774
lg_451,Article 105,13350
lg_455,Section 3,12237
lg_461,Section 4,4782
lg_469,Section 17,17754
lg_469,Section 6,17869
lg_469,Section 5,21560
lg_471,Section 2,2597
lg_475,Section 3,13395
lg_476,Section 16,17191
lg_476,Article 105,16523
lg_477,Section 6,57279
lg_477,Section 3,65650
lg_482,Section 2,29261
lg_482,Section 8,31389
lg_482,Section 16,36480
lg_482,Section 28,36625
lg_484,Section 6,6548
lg_484,Section 13,10063
lg_484,Section 15,10111
lg_486,Section 38,53697
lg_486,Article 170,18673
lg_487,Section 14,16549
lg_492,Article 41,1407
lg_493,Section 143,410
lg_493,Section 49,76604
lg_493,Section 51,77557
lg_493,Section 138,141481
lg_493,Article 154,12128
lg_494,Article 140,946
lg_496,Section 11,13977
lg_499,Section 5,41911
lg_502,Section 7,3087
lg_505,Section 4,4861
lg_505,Section 8A,9068
lg_505,Section 27,21172
lg_505,Section 2,68907
lg_505,Section 76,68960
lg_505,Section 39,126989
lg_505,Section 41,127449
lg_510,Section 5,49913
lg_511,Section 12,9946
lg_516,Section 2,66367
lg_516,Section 4,74756
lg_516,Section 6,77889
lg_523,Section 4,22097
lg_523,Section 6,22250
lg_523,Section 15,23682
